Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
295,Jameer Nelson\nelsoja01,Chandler Parsons,PG,34,DEN,17,4,442,6.8,14.7,0.463,2.6,6.6,0.4,4.2,8.1,0.514,1,1,1,0.4,4.3,4.7,7.8,0.9,0.1,3.8,5.9,17.2,,106,111,94.2,99.852,104.562,26.00,51.03,50.95,53.35,-2.40,22116750,12566.51,520042.1,-1049896.31,12544.95,269716.46,Jameer Nelson
296,Raul Neto\netora01,Patrick Patterson,PG,24,UTA,7,0,18,11.6,20.4,0.571,2.9,5.8,0.5,8.7,14.6,0.6,2.9,2.9,1,0,5.8,5.8,5.8,0,0,5.8,2.9,29.1,,109,108,94.8,103.332,102.384,2.57,5.08,5.25,5.20,0.05,6050000,1352.62,103303.06,-1505273.18,2405.89,73780.49,Raul Neto
297,Georges Niang\niangge01,Chris Paul,PF,23,IND,12,0,69,2.8,19.2,0.148,0.7,7.1,0.1,2.1,12.1,0.176,1.4,1.4,1,1.4,7.8,9.2,3.5,0.7,0,2.8,3.5,7.8,,50,108,99.8,49.9,107.784,5.75,11.96,5.97,12.89,-6.92,22868828,3456.5,435271.63,812507.04,9252.21,278888.15,Georges Niang
298,Andrew Nicholson\nichoan01,Adreian Payne,PF,27,WAS,12,0,126,8.3,19,0.438,0.4,3.6,0.111,7.9,15.5,0.513,2,3.6,0.556,2.4,5.6,7.9,0.8,2.4,1.6,2,8.3,19,,93,106,93.5,86.955,99.11,10.50,20.45,17.79,20.27,-2.49,2022240,1384.52,166715.69,355873.88,4110.24,24661.46,Andrew Nicholson
299,Joakim Noah\noahjo01,Elfrid Payton,C,31,NYK,15,15,337,4,8.6,0.466,0,0.1,0,4,8.4,0.474,0.9,3.1,0.286,6.8,11.1,17.9,7,1.8,2.1,2.5,5.5,8.9,,110,106,95.8,105.38,101.548,22.47,44.84,47.25,45.53,1.72,2613600,557.58,39189.78,-274328.48,1023.45,31873.17,Joakim Noah
300,Lucas Nogueira\noguelu01,Mason Plumlee,C,24,TOR,11,0,205,3.9,5.7,0.696,0,0,,3.9,5.7,0.696,2.2,3.4,0.643,3.9,7.1,11.1,1.7,2.5,4.9,2.2,7.9,10.1,,125,102,101.1,126.375,103.122,18.64,39.25,49.61,40.48,9.13,2328530,441.75,39299.37,462859.25,1081.78,28396.71,Lucas Nogueira
301,Steve Novak\novakst01,Miles Plumlee,PF,33,MIL,1,0,4,0,12.5,0,0,12.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,116,98.6,0,114.376,4.00,8.22,0.00,9.40,-9.40,12500000,5328.11,411204.69,-6990479.81,10359.93,152439.02,Steve Novak
302,Dirk Nowitzki\nowitdi01,Jakob Poeltl,PF,38,DAL,5,5,131,9.5,26.6,0.358,2.4,8.7,0.273,7.1,17.8,0.4,2.8,2.8,1,0.8,11.9,12.7,2.8,1.2,1.2,2,3.6,24.2,,88,105,94.8,83.424,99.54,26.20,51.75,43.17,51.51,-8.34,2703960,955.62,86729.55,812104.01,2039.7,32975.12,Dirk Nowitzki
303,Jusuf Nurkic\nurkiju01,Otto Porter,C,22,DEN,17,17,380,9,18.6,0.486,0,0,,9,18.6,0.486,3.6,6.9,0.519,5.3,11.3,16.7,3.6,1.4,2.3,4.7,4.8,21.6,,97,104,96.5,93.605,100.36,22.35,44.94,42.06,45.10,-3.04,5893981,823.75,81180.72,402213.54,2093.53,71877.82,Jusuf Nurkic
304,Kyle O'Quinn\oquinky01,Bobby Portis,PF,26,NYK,17,2,213,7.7,15,0.516,0,0.7,0,7.7,14.3,0.541,2.8,3.7,0.75,5.4,8.9,14.3,3.5,1.2,4.5,3.3,7,18.3,,109,106,96.3,104.967,102.078,12.53,25.14,26.39,25.66,0.73,1453680,663.63,67897.28,274103.85,1743.72,17727.8,Kyle O'Quinn
