Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,$/OffCont,$/DefCont,$/ContDiff,$/Minute,$/game
375,Metta World Peace\artesro01,SF,37,LAL,3,0,9,0,10.5,0,0,5.3,0,0,5.3,0,10.5,21.1,0.5,0,0,0,0,5.3,0,0,15.8,10.5,63,107,101.3,63.819,108.391,3.00,6.33,4.04,6.86,-2.82," $1,551,659.00 "," $4,683.20 "," $226,106.79 "," $(549,850.60)"," $6,307.56 "," $18,922.67 "
376,James Young\youngja01,SG,21,BOS,1,0,1,0,0,,0,0,,0,0,,0,0,,0,49.5,49.5,0,0,0,0,0,0,,80,97,0,77.6,1.00,2.02,0.00,1.57,-1.57," $1,825,200.00 ",#DIV/0!," $1,163,906.90 "," $(1,163,906.90)"," $22,258.54 "," $22,258.54 "
377,Joe Young\youngjo01,PG,24,IND,3,0,36,8,17.3,0.462,4,5.3,0.75,4,11.9,0.333,2.7,4,0.667,0,5.3,5.3,5.3,0,0,0,4,22.6,128,116,100.4,128.512,116.464,12.00,25.10,32.26,29.23,3.02," $1,052,342.00 ", $397.86 ," $35,999.09 "," $347,991.17 "," $1,069.45 "," $12,833.44 "
378,Nick Young\youngni01,SG,31,LAL,5,5,128,7,17.4,0.404,4.1,11.8,0.344,3,5.6,0.533,4.8,4.8,1,0,4.1,4.1,1.5,1.1,0.7,1.1,7,23,121,113,101.3,122.573,114.469,25.60,54.03,66.22,61.84,4.38," $5,443,918.00 "," $1,002.52 "," $88,026.92 "," $1,243,380.26 "," $2,593.33 "," $66,389.24 "
379,Thaddeus Young\youngth01,PF,28,IND,4,4,125,8.8,14.5,0.605,1.9,3.8,0.5,6.9,10.7,0.643,1.1,1.5,0.75,2.3,6.9,9.2,5,2.3,0.8,1.1,3.1,20.6,135,109,100.4,135.54,109.436,31.25,65.36,88.60,71.53,17.06," $14,153,652.00 "," $1,948.25 "," $197,863.55 "," $829,504.90 "," $5,523.38 "," $172,605.51 "
380,Cody Zeller\zelleco01,PF,24,CHO,4,2,85,9.3,14.6,0.64,0,0,,9.3,14.6,0.64,7.6,12.3,0.619,2.3,7,9.3,1.8,1.2,3.5,1.8,8.8,26.3,126,98,96.7,121.842,94.766,21.25,42.81,52.16,40.57,11.59," $5,318,313.00 "," $1,243.42 "," $131,092.30 "," $458,823.04 "," $3,052.12 "," $64,857.48 "
381,Tyler Zeller\zellety01,C,27,BOS,4,1,74,10,18.7,0.536,0,0,,10,18.7,0.536,1.3,3.3,0.4,4,7.4,11.4,3.3,0.7,3.3,1.3,7.4,21.4,111,108,97,107.67,104.76,18.50,37.39,40.25,39.16,1.09," $8,000,000.00 "," $2,423.70 "," $204,264.21 "," $7,353,511.45 "," $5,273.57 "," $97,560.98 "
382,Stephen Zimmerman\zimmest01,C,20,ORL,1,0,8,0,6.3,0,0,0,,0,6.3,0,0,0,,12.5,12.5,25.1,6.3,0,0,0,0,0,109,111,95.8,104.422,106.338,8.00,15.97,16.67,16.98,-0.31," $950,000.00 ", $694.87 ," $55,952.68 "," $(3,105,373.49)"," $1,448.17 "," $11,585.37 "
383,Paul Zipser\zipsepa01,SF,22,CHI,2,0,8,0,6.2,0,0,0,,0,6.2,0,0,0,,6.2,12.5,18.7,6.2,6.2,0,0,0,0,98,92,96.3,94.374,88.596,4.00,8.03,7.57,7.11,0.46," $750,000.00 "," $1,207.67 "," $105,487.77 "," $1,617,479.13 "," $2,286.59 "," $9,146.34 "
384,Ivica Zubac\zubaciv01,C,19,LAL,1,1,19,7.5,7.5,1,0,0,,7.5,7.5,1,0,0,,2.5,5,7.5,0,2.5,0,0,10,15,203,110,101.3,205.639,111.43,19.00,40.10,82.46,44.68,37.78," $1,034,956.00 ", $153.07 ," $23,163.17 "," $27,397.29 ", $664.28 ," $12,621.41 "
